Name,Address,Website,CC Licence Type,Ownership of Content,Type of hub,Education Level,Content Type,Resource Type,Mission,Use
"Lumen Learning","812 SW Washington St, Portland, OR 97205, United States","https://lumenlearning.com/","CC BY 4.0","Institution","Stand-alone","Higher Education","Courses; Textbooks","Pedagogical","Lumen Learning’s mission is to enable unprecedented learning for all students.","As an educator you can request access to course content that can be inserted into an LMS. All OER content is visible as web content. Does not make for easy reuse/remixing."
"Skills Commons","1250 Bellflower Boulevard Psy-100, Long Beach, CA 90840, United States","https://www.skillscommons.org/","CC BY 4.0","Institution","Aggregated","Higher Education","Video; Field Experience; PDF; Textbooks; Images","Pedagogical; Scholarly; Knowledge mobilization tool","SkillsCommons’ mission is to accelerate the democratization of education for all through open educational services and resources enabling individuals, communities, educational institutions, organizations, and businesses to prepare people for successful employment in the 21st Century.","Effective employer engagement , open courseware, and training programs."
"OpenStax","6100 Main St, Houston, TX 77005, United States","https://openstax.org/","CC BY 4.0","Institution","Aggregated","Higher Education","Courses; Textbooks","Pedagogical; Scholarly","As an educational initiative, it's our mission to give every student the tools they need to be successful in the classroom. Through our partnerships with philanthropic foundations and our alliance with other educational resource companies, we're breaking down the most common barriers to learning. Because we believe that a well-educated society profits us all.","Pedagogical (for teachers), Learning (for students)"
"MIT OpenCourseWare","77 Massachusetts Ave, Cambridge, MA 02139, United States","https://ocw.mit.edu/index.htm","CC-BY-NC-SA","Institution","Stand-alone","Higher Education","Video; Courses","Pedagogical; Scholarly","To publish all of their course materials online and make them widely available to everyone","As a student, can access full course content and share stories. As educators, can use the following: Chalk Radio Podcast
OCW Educator Portal
Instructor Insights by Department
Residential Digital Innovations
OCW Highlights for High School
Additional Resources"
"AdvanceHE","First Floor, Napier House, 24 High Holborn, Holborn, London WC1V 6AZ, United Kingdom","https://www.advance-he.ac.uk/","CC-BY-NC-SA","Individuals","Aggregated","General","PDF; Articles","Pedagogical; Scholarly","Providing insight, so you can use the foresight","Users can search and read differnet posts, artiles, blogs, and insights and have access to different programme, events, and fellowships."
"OER Africa","Braamfontein, Johannesburg, 2000","https://www.oerafrica.org","CC BY 4.0","Institution","Aggregated","Higher Education","Video; PDF","Knowledge mobilization tool","OER Africa was established to create dynamic networks of African OER practitioners by sensitizing and connecting like-minded educators – teachers, academics, trainers, and policy makers – to develop, share, and adapt OER to meet the education needs of African societies","It barely contains any OER. Can be used by Teachers who are interested in developing OER"
"Wikimedia Foundation","1 Montgomery St Suite 1600, San Francisco, CA 94104, United States","https://wikimediafoundation.org","CC BY SA 3.0","Individuals","Aggregated","General","Video; PDF; Textbooks; Images","Pedagogical; Scholarly; Knowledge mobilization tool","Wikimedia's mission is to empower and engage people around the world to collect and develop educational content under a free license or in the public domain, and to disseminate it effectively and globally.","General population can access any of the Wikimedia projects to aceess free educational content"
"WikiEducator","M.E.Bldg Lagoon Rd, St George's, Grenada","https://wikieducator.org/Main_Page","CC BY SA 4.0","Individuals","Stand-alone","Higher Education","Courses","Scholarly","WikiEducator's OERu connects learners around the world with defined pathways to education, created by recognised educators and assessed by renowned global institutions. The learning is free and credentialing is very affordable.","WikiEducator is used for planning of education projects linked with the development of free content for e-learning work on building open education resources (OERs) and,
networking on funding proposals developed as free content"
"Olcos","Techno-Z III, Jakob-Haringer-Straße 5, 5020 Salzburg, Austria","https://www.olcos.org","CC BY-NC-SA 2.5","Institution","Aggregated","Higher Education","Courses","Knowledge mobilization tool","Olcos aims at building an (online) information and observation centre for promoting the concept, production and usage of open educational resources, in particular, open digital educational content (ODEC) in Europe.","OLCOS has compiled four collections of external links referring to resources, projects, and institutions in the field of OER."
"CK-12 Foundation","3430 W Bayshore Rd Ste. 101, Palo Alto, CA 94303, United States","https://www.ck12.org/student/","CC BY-NC 3.0","Institution","Stand-alone","Higher Education; K-12","Video; Courses; Tools; Textbooks","Pedagogical; Knowledge mobilization tool","Give equal access to students globally to education in a personalized manner where each student gets to learn in their own way of learning. And to equib both teachers and students with the tools and latest technologies that will help them personalize their journey to good education/teaching certification.","As students they need to create an account and sign up for courses (for free) and get a personalized course for them with supporting docs like videos, textbook, and so on. As educators, teachers can get certified or join the team by becoming a teacher in ck12 through training program provided in the website."
"The Open University","Walton Hall, Kents Hill, Milton Keynes MK7 6AA, United Kingdom","http://www.open.ac.uk/","CC BY 4.0","Institution","Aggregated","Higher Education","Courses; Blogs","Scholarly; Knowledge mobilization tool","The Open University is the UK’s largest academic institution and a world pioneer in distance learning. To date, we’ve taught more than two million students worldwide.","Students can access courses online by making an account. The courses are links to other open universities' courses."
"DELILA Project Blog","Houghton St, Holborn, London WC2A 2AE, United Kingdom","https://delilaopen.wordpress.com/about/","CC BY 4.0","Institution","Collection of research data","Higher Education","Journal; Articles","Pedagogical","To provide a model of embedded digital and information literacy support into teacher training at higher education level; To release a small sample of open educational resources to support embedding digital and information literacy education into institutional teacher training courses accredited by the HEA including PGCerts and other CPD courses; To customise local repositories to provide access to these resources.","Users can access resources like papers, reports, and publications directly from the website."
"OER World Map","Jülicher Str. 6, 50674 Köln, Germany","https://oerworldmap.org/","CC BY-SA 4.0","Institution","Stand-alone","Higher Education","Journal; PDF; Textbooks","Scholarly; Knowledge mobilization tool","We strive for a world where humans connect, share and collaborate across borders in order to foster democratic participation, social justice and sustainable development. We believe that opening up education - its institutions, its practices and its resources - is necessary to make this happen. The OER World Map contributes to this vision by facilitating the exchange of data, experiences and ideas between open educational actors and communities.","Users can access resources like papers, reports, and publications directly from the website. In addition, they can enrol in programs offered on the website."
"Writing Commons","Business Partnership Building, Tampa, FL 33620, USA","https://writingcommons.org","CC BY-NC-ND 4.0","Institution","Stand-alone","Higher Education","Video; Courses; PDF","Pedagogical; Scholarly","Our primary mission at Writing Commons is to help people communicate more effectively in work and school contexts","Teachers can view how other professors are using Writing Commons in their courses: English for Academic Purposes, Composition, Technical Writing, Business Writing, Fiction Writing, Literature."
"Mumbai University","Mahatma Gandhi Road, Kolivery Village, University of Mumbai,Vidya Nagari, Kala Ghoda, Fort, Mumbai, Maharashtra 400032, India","https://wikieducator.org/MU_OER_PORTAL","CC BY-SA 4.0","Institution","Aggregated","Higher Education","Courses","Scholarly","Our mission is to lead other universities in India by setting an example by venturing into Open Educational Resources that will take quality education to global readers.","Students can access course content through MU's wiki portal"
"Saylor Academy","1875 Connecticut Ave NW, Washington, DC 20009, United States","https://learn.saylor.org","CC BY 3.0","Organization","Stand-alone","Higher Education","Courses","Scholarly","Saylor Academy’s mission is to open education to al","Students can access full course content and potentially apply to receive a certificate from a partner university."
"African Virtual University","Ring Rd Kilimani, Nairobi, Kenya","https://avu.org/avuweb/en/","CC BY 3.0","Organization","Aggregated","Higher Education","Video; PDF; Courses; Textbooks; Images","Scholarly","AVU's mission is to significantly increase access to quality higher education and training through the innovative use of information communication technologies","Students can access material through MyAVU. Each student has her or his individual webpage called MyAVU Virtual Classroom. The MyAVU Virtual Classroom is an online environment that provides individualized resources, information, and services from one simple and secure login point."
"Nordic OER","Alsion 2, 6400 Sønderborg, Denmark","https://www.oercommons.org/hubs/nordic_universities","CC BY-NC-SA 4.0","Institution","Collection of research data; Aggregated","Higher Education","Video; PDF; Textbooks; Images","Pedagogical; Scholarly","Dual goal of easing access to high quality Open Educational Resources (OER) for our instructors, and at the same time give the students the opportunity to learn from the most excellent researchers at our universities, a group of Nordic Universities. sciences.","As a teacher, the platform offers you the opportunity to find, reuse and integrate educational resources into your own courses. Teachers may also share resources on the Health Hub. As a student you can use all resources on the platform: videos, lectures, assignments, datasets, sound files and images - and you do not even need a login"
"Doceo Center","875 Perimeter Drive MS 3080, Campus Drive, Moscow, ID 83844, United States","https://www.uidaho.edu/ed/departments/doceo-center","CC BY 3.0","Institution","Aggregated","K-12","Curriculum; PDF; Textbooks; Lesson Plans","Pedagogical; Scholarly","Doceo Center's mission is to advance innovation and technology integration initiatives at the University and in K-12 schools in the state of Idaho by supporting, teaching, modeling, and researching technology integration practices amongst teacher education candidates, school administration candidates, early career teachers, practicing teachers and administrators, university faculty, and K-12 school districts and by providing resources and research to state and national audiences.","The university has an Open Textbook Library as well as cheap online courses"
"OER Knowledge Cloud","1 University Dr, Athabasca, AB T9S 3A3","https://www.oerknowledgecloud.org","CC BY 4.0","Organization","Collection of research data; Aggregated","Higher Education","Video; PDF; Apps; Images","Scholarly","Act as a curated database and repository to identify, collect, preserve and disseminate documents related to open educational resources. The Cloud data includes searchable records of journal articles (eg. papers in periodicals), reports (eg. from government or industry), books or other items in any medium. These items are available either directly from the Cloud repository or by links to their sources","Cloud data includes searchable records of journal articles (eg. papers in periodicals), reports (eg. from government or industry), books or other items in any medium. These items are available either directly from the Cloud repository or by links to their sources and people access them through this portal"
"Khan Academy","11 Slope Dr, Cedar Knolls, NJ 07927, United States","https://www.khanacademy.org/","CC BY-NC-SA 4.0","Organization","Stand-alone","Higher Education; K-12","Video; Courses","Knowledge mobilization tool","To provide world-class eduction for everyone, everywhere.","Users can use any of the courses provided they are a student and complete assignements and exercises"
"BCCampus","645 Fort St, Victoria, BC V8W 1G2","https://open.bccampus.ca/what-is-open-education/what-are-open-educational-resources/","CC BY 4.0","Institution","Stand-alone","Higher Education","Textbooks","Scholarly; Knowledge mobilization tool","At BCcampus, we’re using open technologies to facilitate, evaluate, and create open educational resources to share across the province and around the world; saving millions of student-dollars through hundreds of open textbooks adopted in thousands of classrooms:","Users can read any of the books, or create their own open book."
"LibreText","1 Shields Ave, Davis, CA 95616, United States","https://libretexts.org/","CC BY-NC-SA 3.0 license","Organization","Stand-alone","Higher Education","Textbooks","Knowledge mobilization tool","The World's most popular open textbook platform.","Users can create an account and expore different courses and textbooks from the provided list of subjects"
"Bullying Free NZ","19 Haven Road, Nelson 7010, New Zealand","https://www.bullyingfree.nz/","N/A","Organization","Aggregated","General","Journal; Articles","Pedagogical; Knowledge mobilization tool","Provide awareness about bullying and support preventation.","Users can use the different links on the website for support, preventation, and learning about bullying and wellbeing. Or, they can read the info provided on the website itself."
"ECampus Ontario","372 Bay St 14th floor, Toronto, ON M5H 2W9","https://www.ecampusontario.ca/","CC BY 4.0","Organization","Aggregated","General","Courses; Textbooks","Pedagogical; Scholarly; Knowledge mobilization tool","Work with member institutions to promote accessibility, collaboration, and innovation in online and technology-enabled learning that will enhance learner experience, support faculty development, and extend Ontario’s global reach.","Users can use any of the programs, courses, libraries, or learning resources by searching the one required and going to the links they provide as a learner. Similarly, educator can go to funding opportunities and help fund or use open educational resources provided and modify the search with the advanced tagging systems."
"Idello","21, College street, suite 600
Toronto, ON M5G 2B3","https://www.idello.org/en","CC BY 2.0","Individuals","Stand-alone","K-12","PDF","Knowledge mobilization tool","Groupe Média TFO is a go-to resource for audiences seeking innovative educational and cultural content in French. Recognized for its premium content, it delivers stimulating experiences at the forefront of digital learning. Proud of its public heritage, it celebrates “la Francophonie” in Ontario and elsewhere in the world.","Provides teachers and educators multimedia content in French for K-12 education level"
"Dalhousie University","6299 South St, Halifax, NS B3H 4R2","https://libraries.dal.ca/services/copyright-office/learning-resources/OpenEducationalResources.html","CC BY-SA 4.0","Institution","Aggregated","Higher Education","Video; PDF; Courses; Textbooks; Audio; Images","Pedagogical; Knowledge mobilization tool","Provide educational programs and general advice on copyright issues,Monitor the University community's compliance with copyright rules and encourage appropriate practices, Policy development and dissemination.","Students and teachers can use any of the resources listed under any of the tags."
"Univeristy of Idaho","875 Perimeter Dr, Moscow, ID 83844, United States","https://www.uidaho.edu/ed/departments/doceo-center","CC BY-SA 4.0","Institution","Aggregated","Higher Education; K-12","Courses; PDF; Textbooks","Knowledge mobilization tool","The University of Idaho Doceo Center for Innovation + Learning (UIDC) leads teaching innovation and technology integration initiatives at the University and in K-12 schools in the state of Idaho. The UIDC does this by supporting, teaching, modeling, and researching technology integration practices amongst teacher education candidates, school administration candidates, early career teachers, practicing teachers and administrators, university faculty, and K-12 school districts and by providing resources and research to state and national audiences.","Students can use any of the open textbooks created by Idaho University, or sign up for the e-potato - A Multidisciplinary and Multimedia Youth Online Program"
"RMIT university","124 La Trobe St, Melbourne VIC 3000, Australia","https://www.rmit.edu.au/","CC BY 4.0","Institution","Aggregated","Higher Education","Journal; Articles","Scholarly","We will be dynamic and innovative in the co-creation of knowledge, We will lead where required, partner as needed and collaborate with all those who seek to build academic success for our students and impact for our researchers, We will think globally and act bravely in our delivery of quality information, learning and research services, We will put our students and staff at the centre of everything we do.","Users (students or educators) can find desired resources and services by using the tagging system in place"
